Acalymma vittatum
Acanalonia conica
Acanthocephala declivis
Acanthocephala terminalis
Achyra rantalis
Adalia bipunctata
Adalia decempunctata
Adelphocoris lineolatus
Alaus oculatus
Amphimallon solstitiale
Anasa tristis
Anicla infecta
Apis mellifera
Argyrotaenia velutinana
Asphaera lustrans
Boisea trivittata
Bombus griseocollis
Bombus impatiens
Caenurgina crassiuscula
Caenurgina erechtea
Calvia quatuordecimguttata
Cantharis livida
Cantharis rustica
Cercopis vulnerata
Cerotoma trifurcata
Cetonia aurata
Chauliognathus marginatus
Chauliognathus pensylvanicus
Cheilomenes sexmaculata
Chilocorus stigma
Chlorochlamys chloroleucaria
Choristoneura rosaceana
Chortophaga viridifasciata
Chrysochus auratus
Chrysodeixis includens
Chrysolina bankii
Chrysopa oculata
Cicadella viridis
Cicindela repanda
Cicindela sexguttata
Coccinella septempunctata
Coccinella transversalis
Coelophora inaequalis
Coleomegilla maculata
Corizus hyoscyami
Cosmopepla lintneriana
Cotinis nitida
Cycloneda munda
Cycloneda sanguinea
Danaus plexippus
Diabrotica balteata
Diabrotica barberi
Diabrotica undecimpunctata
Diabrotica virgifera
Diaphania hyalinata
Ellychnia corrusca
Epargyreus clarus
Epicauta pensylvanica
Episyrphus balteatus
Erthesina fullo
Eurydema ornata
Euschistus servus
Flatormenis proxima
Graphocephala coccinea
Graphocephala versuta
Graphosoma italicum
Halyomorpha halys
Halyzia sedecimguttata
Harmonia axyridis
Harmonia conformis
Harpalus rufipes
Helicoverpa armigera
Helicoverpa zea
Hermetia illucens
Hexagenia limbata
Hippodamia convergens
Hippodamia variegata
Homalodisca vitripennis
Hylephila phyleus
Hypena scabra
Jikradia olitoria
Labidomera clivicollis
Leptinotarsa decemlineata
Leptinotarsa juncta
Leptoglossus phyllopus
Leptopterna dolabrata
Lucidota atra
Lycorma delicatula
Lygaeus kalmii
Lygaeus turcicus
Lygus lineolaris
Manduca sexta
Megacopta cribraria
Melanchra picta
Metcalfa pruinosa
Murgantia histrionica
Mythimna unipuncta
Myzus persicae
Nezara viridula
Nomophila nearctica
Ochlodes sylvanus
Olla v-nigrum
Oncometopia orbona
Oncopeltus fasciatus
Ostrinia nubilalis
Oxythyrea funesta
Palomena prasina
Pelidnota punctata
Photinus pyralis
Phyllopertha horticola
Pieris brassicae
Pieris rapae
Plutella xylostella
Polyphylla decemlineata
Popillia japonica
Propylea quatuordecimpunctata
Psyllobora vigintiduopunctata
Pyrochroa serraticornis
Pyrrharctia isabella
Rhagonycha fulva
Rhaphigaster nebulosa
Rutpela maculata
Schistocerca nitens
Sehirus cinctus
Simosyrphus grandicornis
Sitochroa palealis
Spilostethus pandurus
Spodoptera frugiperda
Spodoptera ornithogalli
Spoladea recurvalis
Stenurella melanura
Tessaratoma papillosa
Tetraopes tetrophthalmus
Toxomerus geminatus
Toxomerus marginatus
Toxomerus politus
Trialeurodes vaporariorum
Trichoplusia ni
Typocerus velutinus
Zelus longipes
Zelus luridus
Zelus renardii
